uf,municipio,data,causa,decreto,fonte,url
RS,Casca,31/08/2026,reconhecimento federal,"Portaria SEDEC/MIDR (lote: nº 2.819, nº 2.819, nº 2.819, nº 2.823)","DOU (portaria SEDEC/MIDR), via notícia do MIDR",https://www.gov.br/mdr/pt-br/noticias-midr/reconhecida-emergencia-em-sete-cidades-afetadas-por-desastres-1
RS,Caseiros,12/08/2026,reconhecimento federal,"Portaria SEDEC/MIDR (lote: nº 2.582, nº 2.582, nº 2.583, nº 2.584, nº 2.584, nº 2.585, nº 2.585)","DOU (portaria SEDEC/MIDR), via notícia do MIDR",https://www.gov.br/mdr/pt-br/noticias-midr/reconhecida-emergencia-em-20-cidades-afetadas-por-desastres-1
RS,Cerrito,02/09/2026,reconhecimento federal,"Portaria SEDEC/MIDR (lote: nº 2.853, nº 2.855, nº 2.858, nº 2.865)","DOU (portaria SEDEC/MIDR), via notícia do MIDR",https://www.gov.br/mdr/pt-br/noticias-midr/reconhecida-emergencia-em-16-cidades-afetadas-por-desastres-2
RS,Cerro Largo,03/09/2026,reconhecimento federal,"Portaria SEDEC/MIDR (lote: nº 2.884, nº 2.885, nº 2.886, nº 2.890)","DOU (portaria SEDEC/MIDR), via notícia do MIDR",https://www.gov.br/mdr/pt-br/noticias-midr/reconhecida-emergencia-em-13-cidades-afetadas-por-desastres-1
RS,Charqueadas,25/08/2026,reconhecimento federal,"Portaria SEDEC/MIDR (lote: nº 2.754, nº 2.757, nº 2.758, nº 2.759)","DOU (portaria SEDEC/MIDR), via notícia do MIDR",https://www.gov.br/mdr/pt-br/noticias-midr/reconhecida-emergencia-em-24-cidades-afetadas-por-desastres-1
RS,Chuí,25/08/2026,reconhecimento federal,"Portaria SEDEC/MIDR (lote: nº 2.754, nº 2.757, nº 2.758, nº 2.759)","DOU (portaria SEDEC/MIDR), via notícia do MIDR",https://www.gov.br/mdr/pt-br/noticias-midr/reconhecida-emergencia-em-24-cidades-afetadas-por-desastres-1
RS,Ciríaco,27/08/2026,reconhecimento federal,"Portaria SEDEC/MIDR (lote: nº 2.793, nº 2.794, nº 2.795, nº 2.796)","DOU (portaria SEDEC/MIDR), via notícia do MIDR",https://www.gov.br/mdr/pt-br/noticias-midr/reconhecida-emergencia-em-16-cidades-afetadas-por-desastres-1
RS,Colinas,22/08/2026,reconhecimento federal,"Portaria SEDEC/MIDR (lote: nº 2.724, nº 2.727, nº 2.731, nº 2.735)","DOU (portaria SEDEC/MIDR), via notícia do MIDR",https://www.gov.br/mdr/pt-br/noticias-midr/reconhecida-emergencia-em-13-cidades-afetadas-por-desastres
RS,Colorado,06/08/2026,reconhecimento federal,"Portaria SEDEC/MIDR (lote: nº 2.546, nº 2.548, nº 2.548, nº 2.548, nº 2.549, nº 2.549, nº 2.553, nº 2.564)","DOU (portaria SEDEC/MIDR), via notícia do MIDR",https://www.gov.br/mdr/pt-br/noticias-midr/reconhecida-emergencia-em-oito-cidades-afetadas-por-desastres-1
RS,Coqueiros do Sul,19/08/2026,reconhecimento federal,"Portaria SEDEC/MIDR (lote: nº 2.645, nº 2.658, nº 2.659, nº 2.659, nº 2.667)","DOU (portaria SEDEC/MIDR), via notícia do MIDR",https://www.gov.br/mdr/pt-br/noticias-midr/reconhecida-emergencia-em-46-cidades-afetadas-por-desastres
