ibge,uf,municipio,nivel_verificacao,ultima_verificacao,plano_localizado,decreto_reconhecido,decreto_homologado
5219407,GO,Santa Rita do Araguaia,nacional,2026-09-03,,,
5219456,GO,Santa Rita do Novo Destino,nacional,2026-09-03,,,
5219506,GO,Santa Rosa de Goiás,nacional,2026-09-03,,,
5219605,GO,Santa Tereza de Goiás,nacional,2026-09-03,,,
5219704,GO,Santa Terezinha de Goiás,nacional,2026-09-03,,,
5219712,GO,Santo Antônio da Barra,nacional,2026-09-03,,,
5219738,GO,Santo Antônio de Goiás,nacional,2026-09-03,,,
5219753,GO,Santo Antônio do Descoberto,nacional,2026-09-03,,,
5220454,GO,Senador Canedo,nacional,2026-09-03,,,
5220504,GO,Serranópolis,nacional,2026-09-03,,,
5220603,GO,Silvânia,nacional,2026-09-03,,,
5220686,GO,Simolândia,nacional,2026-09-03,,,
5219803,GO,São Domingos,nacional,2026-09-03,,,
5219902,GO,São Francisco de Goiás,nacional,2026-09-03,,,
5220009,GO,São João d'Aliança,nacional,2026-09-03,,,
5220058,GO,São João da Paraúna,nacional,2026-09-03,,,
5220157,GO,São Luiz do Norte,nacional,2026-09-03,,,
5220108,GO,São Luís de Montes Belos,nacional,2026-09-03,,,
5220207,GO,São Miguel do Araguaia,nacional,2026-09-03,,,
5220264,GO,São Miguel do Passa Quatro,nacional,2026-09-03,,,
5220280,GO,São Patrício,nacional,2026-09-03,,,
5220405,GO,São Simão,nacional,2026-09-03,,,
5220702,GO,Sítio d'Abadia,nacional,2026-09-03,,,
5221007,GO,Taquaral de Goiás,nacional,2026-09-03,,,
5221080,GO,Teresina de Goiás,nacional,2026-09-03,,,
5221197,GO,Terezópolis de Goiás,nacional,2026-09-03,,,
5221403,GO,Trindade,nacional,2026-09-03,,,
5221452,GO,Trombas,nacional,2026-09-03,,,
5221304,GO,Três Ranchos,nacional,2026-09-03,,,
5221551,GO,Turvelândia,nacional,2026-09-03,,,
5221502,GO,Turvânia,nacional,2026-09-03,,,
5221577,GO,Uirapuru,nacional,2026-09-03,,,
5221700,GO,Uruana,nacional,2026-09-03,,,
5221601,GO,Uruaçu,nacional,2026-09-03,,,
5221809,GO,Urutaí,nacional,2026-09-03,,,
5221858,GO,Valparaíso de Goiás,nacional,2026-09-03,,,
5221908,GO,Varjão,nacional,2026-09-03,,,
5222005,GO,Vianópolis,nacional,2026-09-03,,,
5222054,GO,Vicentinópolis,nacional,2026-09-03,,,
5222203,GO,Vila Boa,nacional,2026-09-03,,,
5222302,GO,Vila Propício,nacional,2026-09-03,,,
5200175,GO,Água Fria de Goiás,nacional,2026-09-03,,,
5200209,GO,Água Limpa,nacional,2026-09-03,,,
5200258,GO,Águas Lindas de Goiás,nacional,2026-09-03,,,
2100105,MA,Afonso Cunha,nacional,2026-09-03,,,
2100204,MA,Alcântara,nacional,2026-09-03,,,
2100303,MA,Aldeias Altas,nacional,2026-09-03,,,
2100402,MA,Altamira do Maranhão,nacional,2026-09-03,,,
2100436,MA,Alto Alegre do Maranhão,nacional,2026-09-03,,,
2100477,MA,Alto Alegre do Pindaré,nacional,2026-09-03,,,
2100501,MA,Alto Parnaíba,nacional,2026-09-03,,,
2100550,MA,Amapá do Maranhão,nacional,2026-09-03,,,
2100600,MA,Amarante do Maranhão,nacional,2026-09-03,,,
2100709,MA,Anajatuba,nacional,2026-09-03,,,
2100808,MA,Anapurus,nacional,2026-09-03,,,
2100832,MA,Apicum-Açu,nacional,2026-09-03,decreto,,
2100873,MA,Araguanã,nacional,2026-09-03,,,
2100907,MA,Araioses,nacional,2026-09-03,,,
2100956,MA,Arame,nacional,2026-09-03,,,
2101004,MA,Arari,nacional,2026-09-03,,,
2101103,MA,Axixá,nacional,2026-09-03,,,
2100055,MA,Açailândia,nacional,2026-09-03,,,
2101202,MA,Bacabal,nacional,2026-09-03,,,
2101251,MA,Bacabeira,nacional,2026-09-03,,,
2101301,MA,Bacuri,nacional,2026-09-03,,,
2101350,MA,Bacurituba,nacional,2026-09-03,,,
2101400,MA,Balsas,nacional,2026-09-03,coberto_estadual,,
2101608,MA,Barra do Corda,nacional,2026-09-03,,,
2101707,MA,Barreirinhas,nacional,2026-09-03,,,
2101509,MA,Barão de Grajaú,nacional,2026-09-03,,,
2101772,MA,Bela Vista do Maranhão,nacional,2026-09-03,,,
2101731,MA,Belágua,nacional,2026-09-03,,,
2101806,MA,Benedito Leite,nacional,2026-09-03,,,
2101905,MA,Bequimão,nacional,2026-09-03,decreto,,
2101939,MA,Bernardo do Mearim,nacional,2026-09-03,,,
2101970,MA,Boa Vista do Gurupi,nacional,2026-09-03,,,
2102002,MA,Bom Jardim,nacional,2026-09-03,,,
2102036,MA,Bom Jesus das Selvas,nacional,2026-09-03,,,
2102077,MA,Bom Lugar,nacional,2026-09-03,,,
2102101,MA,Brejo,nacional,2026-09-03,,,
2102150,MA,Brejo de Areia,nacional,2026-09-03,,,
2102200,MA,Buriti,nacional,2026-09-03,,,
2102309,MA,Buriti Bravo,nacional,2026-09-03,,,
2102325,MA,Buriticupu,nacional,2026-09-03,,,
2102358,MA,Buritirana,nacional,2026-09-03,,,
2102374,MA,Cachoeira Grande,nacional,2026-09-03,,,
2102408,MA,Cajapió,nacional,2026-09-03,,,
2102507,MA,Cajari,nacional,2026-09-03,,,
2102556,MA,Campestre do Maranhão,nacional,2026-09-03,,,
2102705,MA,Cantanhede,nacional,2026-09-03,,,
2102754,MA,Capinzal do Norte,nacional,2026-09-03,,,
2102804,MA,Carolina,nacional,2026-09-03,,,
2102903,MA,Carutapera,nacional,2026-09-03,,,
2103000,MA,Caxias,nacional,2026-09-03,,,
2103109,MA,Cedral,nacional,2026-09-03,,,
2103125,MA,Central do Maranhão,nacional,2026-09-03,,,
2103174,MA,Centro Novo do Maranhão,nacional,2026-09-03,,,
2103158,MA,Centro do Guilherme,nacional,2026-09-03,,,
2103208,MA,Chapadinha,nacional,2026-09-03,,,
2103257,MA,Cidelândia,nacional,2026-09-03,,,
2103307,MA,Codó,nacional,2026-09-03,,,
2103406,MA,Coelho Neto,nacional,2026-09-03,,,
2103505,MA,Colinas,nacional,2026-09-03,,,
2103554,MA,Conceição do Lago-Açu,nacional,2026-09-03,,,
2103604,MA,Coroatá,nacional,2026-09-03,,,
2103703,MA,Cururupu,nacional,2026-09-03,,,
2102606,MA,Cândido Mendes,nacional,2026-09-03,,,
2103752,MA,Davinópolis,nacional,2026-09-03,,,
2103802,MA,Dom Pedro,nacional,2026-09-03,,,
2103901,MA,Duque Bacelar,nacional,2026-09-03,,,
2104008,MA,Esperantinópolis,nacional,2026-09-03,,,
2104057,MA,Estreito,nacional,2026-09-03,,,
2104073,MA,Feira Nova do Maranhão,nacional,2026-09-03,,,
2104081,MA,Fernando Falcão,nacional,2026-09-03,,,
2104099,MA,Formosa da Serra Negra,nacional,2026-09-03,,,
2104107,MA,Fortaleza dos Nogueiras,nacional,2026-09-03,,,
2104206,MA,Fortuna,nacional,2026-09-03,,,
2104305,MA,Godofredo Viana,nacional,2026-09-03,,,
2104404,MA,Gonçalves Dias,nacional,2026-09-03,,,
2104503,MA,Governador Archer,nacional,2026-09-03,,,
2104552,MA,Governador Edison Lobão,nacional,2026-09-03,,,
2104602,MA,Governador Eugênio Barros,nacional,2026-09-03,,,
2104628,MA,Governador Luiz Rocha,nacional,2026-09-03,,,
2104651,MA,Governador Newton Bello,nacional,2026-09-03,,,
2104677,MA,Governador Nunes Freire,nacional,2026-09-03,,,
2104800,MA,Grajaú,nacional,2026-09-03,,,
2104701,MA,Graça Aranha,nacional,2026-09-03,,,
2104909,MA,Guimarães,nacional,2026-09-03,,,
2105005,MA,Humberto de Campos,nacional,2026-09-03,,,
2105104,MA,Icatu,nacional,2026-09-03,,,
2105203,MA,Igarapé Grande,nacional,2026-09-03,,,
2105153,MA,Igarapé do Meio,nacional,2026-09-03,,,
2105302,MA,Imperatriz,nacional,2026-09-03,,,
2105351,MA,Itaipava do Grajaú,nacional,2026-09-03,,,
2105401,MA,Itapecuru Mirim,nacional,2026-09-03,,,
2105427,MA,Itinga do Maranhão,nacional,2026-09-03,,,
2105450,MA,Jatobá,nacional,2026-09-03,,,
2105476,MA,Jenipapo dos Vieiras,nacional,2026-09-03,,,
2105609,MA,Joselândia,nacional,2026-09-03,,,
2105500,MA,João Lisboa,nacional,2026-09-03,,,
2105658,MA,Junco do Maranhão,nacional,2026-09-03,,,
2105906,MA,Lago Verde,nacional,2026-09-03,,,
2105708,MA,Lago da Pedra,nacional,2026-09-03,,,
2105807,MA,Lago do Junco,nacional,2026-09-03,,,
2105948,MA,Lago dos Rodrigues,nacional,2026-09-03,,,
2105963,MA,Lagoa Grande do Maranhão,nacional,2026-09-03,,,
2105922,MA,Lagoa do Mato,nacional,2026-09-03,,,
2105989,MA,Lajeado Novo,nacional,2026-09-03,,,
2106003,MA,Lima Campos,nacional,2026-09-03,,,
2106102,MA,Loreto,nacional,2026-09-03,,,
2106201,MA,Luís Domingues,nacional,2026-09-03,,,
2106300,MA,Magalhães de Almeida,nacional,2026-09-03,,,
2106326,MA,Maracaçumé,nacional,2026-09-03,,,
2106359,MA,Marajá do Sena,nacional,2026-09-03,,,
2106375,MA,Maranhãozinho,nacional,2026-09-03,,,
2106409,MA,Mata Roma,nacional,2026-09-03,,,
2106508,MA,Matinha,nacional,2026-09-03,,,
2106607,MA,Matões,nacional,2026-09-03,,,
2106631,MA,Matões do Norte,nacional,2026-09-03,,,
2106672,MA,Milagres do Maranhão,nacional,2026-09-03,,,
2106706,MA,Mirador,nacional,2026-09-03,,,
2106755,MA,Miranda do Norte,nacional,2026-09-03,,,
2106805,MA,Mirinzal,nacional,2026-09-03,,,
2107001,MA,Montes Altos,nacional,2026-09-03,,,
2106904,MA,Monção,nacional,2026-09-03,,,
2107100,MA,Morros,nacional,2026-09-03,,,
2107209,MA,Nina Rodrigues,nacional,2026-09-03,,,
2107258,MA,Nova Colinas,nacional,2026-09-03,,,
2107308,MA,Nova Iorque,nacional,2026-09-03,,,
2107357,MA,Nova Olinda do Maranhão,nacional,2026-09-03,,,
2107407,MA,Olho d'Água das Cunhãs,nacional,2026-09-03,,,
2107456,MA,Olinda Nova do Maranhão,nacional,2026-09-03,,,
2107605,MA,Palmeirândia,nacional,2026-09-03,,,
2107704,MA,Paraibano,nacional,2026-09-03,,,
2107803,MA,Parnarama,nacional,2026-09-03,,,
2107902,MA,Passagem Franca,nacional,2026-09-03,,,
2108009,MA,Pastos Bons,nacional,2026-09-03,,,
2108058,MA,Paulino Neves,nacional,2026-09-03,,,
2108108,MA,Paulo Ramos,nacional,2026-09-03,,,
2107506,MA,Paço do Lumiar,nacional,2026-09-03,,,
2108207,MA,Pedreiras,nacional,2026-09-03,,,
2108256,MA,Pedro do Rosário,nacional,2026-09-03,,,
2108306,MA,Penalva,nacional,2026-09-03,,,
2108405,MA,Peri Mirim,nacional,2026-09-03,,,
2108454,MA,Peritoró,nacional,2026-09-03,,,
2108504,MA,Pindaré-Mirim,nacional,2026-09-03,,,
2108603,MA,Pinheiro,nacional,2026-09-03,,,
2108702,MA,Pio XII,nacional,2026-09-03,,,
2108801,MA,Pirapemas,nacional,2026-09-03,,,
2109007,MA,Porto Franco,nacional,2026-09-03,,,
2109056,MA,Porto Rico do Maranhão,nacional,2026-09-03,,,
2108900,MA,Poção de Pedras,nacional,2026-09-03,,,
2109106,MA,Presidente Dutra,nacional,2026-09-03,,,
2109205,MA,Presidente Juscelino,nacional,2026-09-03,,,
2109239,MA,Presidente Médici,nacional,2026-09-03,,,
2109270,MA,Presidente Sarney,nacional,2026-09-03,,,
2109304,MA,Presidente Vargas,nacional,2026-09-03,,,
2109403,MA,Primeira Cruz,nacional,2026-09-03,,,
2109452,MA,Raposa,nacional,2026-09-03,,,
2109502,MA,Riachão,nacional,2026-09-03,coberto_estadual,,
2109551,MA,Ribamar Fiquene,nacional,2026-09-03,,,
2109601,MA,Rosário,nacional,2026-09-03,,,
2109700,MA,Sambaíba,nacional,2026-09-03,,,
2109759,MA,Santa Filomena do Maranhão,nacional,2026-09-03,,,
2109809,MA,Santa Helena,nacional,2026-09-03,,,
2109908,MA,Santa Inês,nacional,2026-09-03,,,
2110005,MA,Santa Luzia,nacional,2026-09-03,,,
2110039,MA,Santa Luzia do Paruá,nacional,2026-09-03,,,
2110104,MA,Santa Quitéria do Maranhão,nacional,2026-09-03,,,
2110203,MA,Santa Rita,nacional,2026-09-03,,,
2110237,MA,Santana do Maranhão,nacional,2026-09-03,,,
2110278,MA,Santo Amaro do Maranhão,nacional,2026-09-03,,,
2110302,MA,Santo Antônio dos Lopes,nacional,2026-09-03,,,
2111722,MA,Satubinha,nacional,2026-09-03,,,
2111748,MA,Senador Alexandre Costa,nacional,2026-09-03,,,
2111763,MA,Senador La Rocque,nacional,2026-09-03,,,
2111789,MA,Serrano do Maranhão,nacional,2026-09-03,,,
2111904,MA,Sucupira do Norte,nacional,2026-09-03,,,
2111953,MA,Sucupira do Riachão,nacional,2026-09-03,,,
2110401,MA,São Benedito do Rio Preto,nacional,2026-09-03,,,
2110500,MA,São Bento,nacional,2026-09-03,,,
2110609,MA,São Bernardo,nacional,2026-09-03,,,
2110658,MA,São Domingos do Azeitão,nacional,2026-09-03,,,
2110708,MA,São Domingos do Maranhão,nacional,2026-09-03,,,
2110856,MA,São Francisco do Brejão,nacional,2026-09-03,,,
2110906,MA,São Francisco do Maranhão,nacional,2026-09-03,,,
2110807,MA,São Félix de Balsas,nacional,2026-09-03,,,
2111201,MA,São José de Ribamar,nacional,2026-09-03,,,
2111250,MA,São José dos Basílios,nacional,2026-09-03,,,
2111003,MA,São João Batista,nacional,2026-09-03,,,
2111029,MA,São João do Carú,nacional,2026-09-03,,,
2111052,MA,São João do Paraíso,nacional,2026-09-03,,,
2111078,MA,São João do Soter,nacional,2026-09-03,,,
2111102,MA,São João dos Patos,nacional,2026-09-03,,,
2111300,MA,São Luís,nacional,2026-09-03,plano,,
2111409,MA,São Luís Gonzaga do Maranhão,nacional,2026-09-03,,,
2111508,MA,São Mateus do Maranhão,nacional,2026-09-03,,,
2111532,MA,São Pedro da Água Branca,nacional,2026-09-03,,,
2111573,MA,São Pedro dos Crentes,nacional,2026-09-03,,,
2111607,MA,São Raimundo das Mangabeiras,nacional,2026-09-03,coberto_estadual,,
2111631,MA,São Raimundo do Doca Bezerra,nacional,2026-09-03,,,
2111672,MA,São Roberto,nacional,2026-09-03,,,
2111706,MA,São Vicente Ferrer,nacional,2026-09-03,,,
2111805,MA,Sítio Novo,nacional,2026-09-03,,,
2112001,MA,Tasso Fragoso,nacional,2026-09-03,coberto_estadual,,
2112100,MA,Timbiras,nacional,2026-09-03,,,
2112209,MA,Timon,nacional,2026-09-03,,,
2112233,MA,Trizidela do Vale,nacional,2026-09-03,,,
2112274,MA,Tufilândia,nacional,2026-09-03,,,
2112308,MA,Tuntum,nacional,2026-09-03,,,
2112407,MA,Turiaçu,nacional,2026-09-03,,,
2112456,MA,Turilândia,nacional,2026-09-03,,,
2112506,MA,Tutóia,nacional,2026-09-03,,,
2112605,MA,Urbano Santos,nacional,2026-09-03,,,
2112704,MA,Vargem Grande,nacional,2026-09-03,,,
2112803,MA,Viana,nacional,2026-09-03,,,
2112852,MA,Vila Nova dos Martírios,nacional,2026-09-03,,,
2113009,MA,Vitorino Freire,nacional,2026-09-03,,,
2112902,MA,Vitória do Mearim,nacional,2026-09-03,,,
2114007,MA,Zé Doca,nacional,2026-09-03,,,
2100154,MA,Água Doce do Maranhão,nacional,2026-09-03,,,
3100104,MG,Abadia dos Dourados,nacional,2026-09-03,,,
3100203,MG,Abaeté,nacional,2026-09-03,,,
3100302,MG,Abre Campo,nacional,2026-09-03,,,
3100401,MG,Acaiaca,nacional,2026-09-03,,,
3100807,MG,Aguanil,nacional,2026-09-03,,,
3101102,MG,Aimorés,nacional,2026-09-03,,,
3101201,MG,Aiuruoca,nacional,2026-09-03,,,
3101300,MG,Alagoa,nacional,2026-09-03,,,
3101409,MG,Albertina,nacional,2026-09-03,,,
3101607,MG,Alfenas,nacional,2026-09-03,,,
3101631,MG,Alfredo Vasconcelos,nacional,2026-09-03,,,
3101706,MG,Almenara,nacional,2026-09-03,,,
3101805,MG,Alpercata,nacional,2026-09-03,,,
3101904,MG,Alpinópolis,nacional,2026-09-03,,,
3102001,MG,Alterosa,nacional,2026-09-03,,,
3102050,MG,Alto Caparaó,nacional,2026-09-03,,,
3153509,MG,Alto Jequitibá,nacional,2026-09-03,,,
3102100,MG,Alto Rio Doce,nacional,2026-09-03,,,
3102209,MG,Alvarenga,nacional,2026-09-03,,,
3102308,MG,Alvinópolis,nacional,2026-09-03,,,
3102407,MG,Alvorada de Minas,nacional,2026-09-03,,,
3101508,MG,Além Paraíba,nacional,2026-09-03,,,
3102506,MG,Amparo do Serra,nacional,2026-09-03,,,
3102605,MG,Andradas,nacional,2026-09-03,,,
3102803,MG,Andrelândia,nacional,2026-09-03,,,
3102852,MG,Angelândia,nacional,2026-09-03,,,
3102902,MG,Antônio Carlos,nacional,2026-09-03,,,
3103009,MG,Antônio Dias,nacional,2026-09-03,,,
3103108,MG,Antônio Prado de Minas,nacional,2026-09-03,,,
3103306,MG,Aracitaba,nacional,2026-09-03,,,
3103504,MG,Araguari,nacional,2026-09-03,,,
3103603,MG,Arantina,nacional,2026-09-03,,,
3103702,MG,Araponga,nacional,2026-09-03,,,
3103751,MG,Araporã,nacional,2026-09-03,,,
3103801,MG,Arapuá,nacional,2026-09-03,,,
3104007,MG,Araxá,nacional,2026-09-03,,,
3103207,MG,Araçaí,nacional,2026-09-03,,,
3103405,MG,Araçuaí,nacional,2026-09-03,,,
3103900,MG,Araújos,nacional,2026-09-03,,,
3104106,MG,Arceburgo,nacional,2026-09-03,,,
3104205,MG,Arcos,nacional,2026-09-03,,,
3104304,MG,Areado,nacional,2026-09-03,,,
3104403,MG,Argirita,nacional,2026-09-03,,,
3104452,MG,Aricanduva,nacional,2026-09-03,,,
3104502,MG,Arinos,nacional,2026-09-03,,,
3104601,MG,Astolfo Dutra,nacional,2026-09-03,,,
3104700,MG,Ataléia,nacional,2026-09-03,,,
3104809,MG,Augusto de Lima,nacional,2026-09-03,,,
3100500,MG,Açucena,nacional,2026-09-03,,,
3104908,MG,Baependi,nacional,2026-09-03,,,
3105004,MG,Baldim,nacional,2026-09-03,,,
3105103,MG,Bambuí,nacional,2026-09-03,,,
3105202,MG,Bandeira,nacional,2026-09-03,,,
3105301,MG,Bandeira do Sul,nacional,2026-09-03,,,
3105608,MG,Barbacena,nacional,2026-09-03,,,
3105707,MG,Barra Longa,nacional,2026-09-03,,,
3105905,MG,Barroso,nacional,2026-09-03,,,
3105400,MG,Barão de Cocais,nacional,2026-09-03,,,
3105509,MG,Barão de Monte Alto,nacional,2026-09-03,,,
3106002,MG,Bela Vista de Minas,nacional,2026-09-03,,,
3106101,MG,Belmiro Braga,nacional,2026-09-03,,,
3106200,MG,Belo Horizonte,nacional,2026-09-03,,,
3106309,MG,Belo Oriente,nacional,2026-09-03,,,
3106408,MG,Belo Vale,nacional,2026-09-03,,,
3106507,MG,Berilo,nacional,2026-09-03,,,
3106655,MG,Berizal,nacional,2026-09-03,,,
3106606,MG,Bertópolis,nacional,2026-09-03,,,
3106705,MG,Betim,nacional,2026-09-03,,,
3106804,MG,Bias Fortes,nacional,2026-09-03,,,
3106903,MG,Bicas,nacional,2026-09-03,,,
3107000,MG,Biquinhas,nacional,2026-09-03,,,
3107109,MG,Boa Esperança,nacional,2026-09-03,,,
3107208,MG,Bocaina de Minas,nacional,2026-09-03,,,
3107307,MG,Bocaiúva,nacional,2026-09-03,,,
3107406,MG,Bom Despacho,nacional,2026-09-03,,,
3107505,MG,Bom Jardim de Minas,nacional,2026-09-03,,,
3107604,MG,Bom Jesus da Penha,nacional,2026-09-03,,,
3107703,MG,Bom Jesus do Amparo,nacional,2026-09-03,,,
3107802,MG,Bom Jesus do Galho,nacional,2026-09-03,,,
3107901,MG,Bom Repouso,nacional,2026-09-03,,,
3108008,MG,Bom Sucesso,nacional,2026-09-03,,,
3108107,MG,Bonfim,nacional,2026-09-03,,,
3108206,MG,Bonfinópolis de Minas,nacional,2026-09-03,,,
3108255,MG,Bonito de Minas,nacional,2026-09-03,,,
3108305,MG,Borda da Mata,nacional,2026-09-03,,,
3108404,MG,Botelhos,nacional,2026-09-03,,,
3108503,MG,Botumirim,nacional,2026-09-03,,,
3108552,MG,Brasilândia de Minas,nacional,2026-09-03,,,
3108602,MG,Brasília de Minas,nacional,2026-09-03,,,
3108909,MG,Brazópolis,nacional,2026-09-03,,,
3108800,MG,Braúnas,nacional,2026-09-03,,,
3109006,MG,Brumadinho,nacional,2026-09-03,,,
3108701,MG,Brás Pires,nacional,2026-09-03,,,
3109105,MG,Bueno Brandão,nacional,2026-09-03,,,
3109204,MG,Buenópolis,nacional,2026-09-03,,,
3109253,MG,Bugre,nacional,2026-09-03,,,
3109303,MG,Buritis,nacional,2026-09-03,,,
3109402,MG,Buritizeiro,nacional,2026-09-03,,,
3109451,MG,Cabeceira Grande,nacional,2026-09-03,,,
3109501,MG,Cabo Verde,nacional,2026-09-03,,,
3109808,MG,Cachoeira Dourada,nacional,2026-09-03,,,
3109600,MG,Cachoeira da Prata,nacional,2026-09-03,,,
3109709,MG,Cachoeira de Minas,nacional,2026-09-03,,,
3102704,MG,Cachoeira de Pajeú,nacional,2026-09-03,,,
3109907,MG,Caetanópolis,nacional,2026-09-03,,,
3110004,MG,Caeté,nacional,2026-09-03,,,
3110103,MG,Caiana,nacional,2026-09-03,,,
3110202,MG,Cajuri,nacional,2026-09-03,,,
3110301,MG,Caldas,nacional,2026-09-03,,,
3110400,MG,Camacho,nacional,2026-09-03,,,
3110509,MG,Camanducaia,nacional,2026-09-03,,,
3110707,MG,Cambuquira,nacional,2026-09-03,,,
3110608,MG,Cambuí,nacional,2026-09-03,,,
3110905,MG,Campanha,nacional,2026-09-03,,,
3110806,MG,Campanário,nacional,2026-09-03,,,
3111002,MG,Campestre,nacional,2026-09-03,,,
3111101,MG,Campina Verde,nacional,2026-09-03,,,
3111150,MG,Campo Azul,nacional,2026-09-03,,,
3111200,MG,Campo Belo,nacional,2026-09-03,,,
3111408,MG,Campo Florido,nacional,2026-09-03,,,
3111309,MG,Campo do Meio,nacional,2026-09-03,,,
3111507,MG,Campos Altos,nacional,2026-09-03,,,
3111606,MG,Campos Gerais,nacional,2026-09-03,,,
3111903,MG,Cana Verde,nacional,2026-09-03,,,
3111705,MG,Canaã,nacional,2026-09-03,,,
3112000,MG,Candeias,nacional,2026-09-03,,,
3112059,MG,Cantagalo,nacional,2026-09-03,,,
3111804,MG,Canápolis,nacional,2026-09-03,,,
3112109,MG,Caparaó,nacional,2026-09-03,,,
3112208,MG,Capela Nova,nacional,2026-09-03,,,
3112307,MG,Capelinha,nacional,2026-09-03,,,
3112406,MG,Capetinga,nacional,2026-09-03,,,
3112505,MG,Capim Branco,nacional,2026-09-03,,,
3112604,MG,Capinópolis,nacional,2026-09-03,,,
3112653,MG,Capitão Andrade,nacional,2026-09-03,,,
3112703,MG,Capitão Enéas,nacional,2026-09-03,,,
3112802,MG,Capitólio,nacional,2026-09-03,,,
3112901,MG,Caputira,nacional,2026-09-03,,,
3113107,MG,Caranaíba,nacional,2026-09-03,,,
3113206,MG,Carandaí,nacional,2026-09-03,,,
3113305,MG,Carangola,nacional,2026-09-03,,,
3113404,MG,Caratinga,nacional,2026-09-03,,,
3113008,MG,Caraí,nacional,2026-09-03,,,
3113503,MG,Carbonita,nacional,2026-09-03,,,
3113602,MG,Careaçu,nacional,2026-09-03,,,
3113701,MG,Carlos Chagas,nacional,2026-09-03,,,
3113909,MG,Carmo da Cachoeira,nacional,2026-09-03,,,
3114006,MG,Carmo da Mata,nacional,2026-09-03,,,
3114105,MG,Carmo de Minas,nacional,2026-09-03,,,
3114204,MG,Carmo do Cajuru,nacional,2026-09-03,,,
3114303,MG,Carmo do Paranaíba,nacional,2026-09-03,,,
3114402,MG,Carmo do Rio Claro,nacional,2026-09-03,,,
3113800,MG,Carmésia,nacional,2026-09-03,,,
3114501,MG,Carmópolis de Minas,nacional,2026-09-03,,,
3114550,MG,Carneirinho,nacional,2026-09-03,,,
3114600,MG,Carrancas,nacional,2026-09-03,,,
3114808,MG,Carvalhos,nacional,2026-09-03,,,
3114709,MG,Carvalhópolis,nacional,2026-09-03,,,
3114907,MG,Casa Grande,nacional,2026-09-03,,,
3115003,MG,Cascalho Rico,nacional,2026-09-03,,,
3115300,MG,Cataguases,nacional,2026-09-03,,,
3115359,MG,Catas Altas,nacional,2026-09-03,,,
3115409,MG,Catas Altas da Noruega,nacional,2026-09-03,,,
3115458,MG,Catuji,nacional,2026-09-03,,,
3115474,MG,Catuti,nacional,2026-09-03,,,
3115508,MG,Caxambu,nacional,2026-09-03,,,
3115607,MG,Cedro do Abaeté,nacional,2026-09-03,,,
3115706,MG,Central de Minas,nacional,2026-09-03,,,
3115805,MG,Centralina,nacional,2026-09-03,,,
3116001,MG,Chalé,nacional,2026-09-03,,,
3116159,MG,Chapada Gaúcha,nacional,2026-09-03,,,
3116100,MG,Chapada do Norte,nacional,2026-09-03,,,
3116209,MG,Chiador,nacional,2026-09-03,,,
3115904,MG,Chácara,nacional,2026-09-03,,,
3116308,MG,Cipotânea,nacional,2026-09-03,,,
3116407,MG,Claraval,nacional,2026-09-03,,,
3116506,MG,Claro dos Poções,nacional,2026-09-03,,,
3116605,MG,Cláudio,nacional,2026-09-03,,,
3116704,MG,Coimbra,nacional,2026-09-03,,,
3116803,MG,Coluna,nacional,2026-09-03,,,
3116902,MG,Comendador Gomes,nacional,2026-09-03,,,
3117009,MG,Comercinho,nacional,2026-09-03,,,
3117108,MG,Conceição da Aparecida,nacional,2026-09-03,,,
3115201,MG,Conceição da Barra de Minas,nacional,2026-09-03,,,
3117306,MG,Conceição das Alagoas,nacional,2026-09-03,,,
3117207,MG,Conceição das Pedras,nacional,2026-09-03,,,
3117405,MG,Conceição de Ipanema,nacional,2026-09-03,,,
3117504,MG,Conceição do Mato Dentro,nacional,2026-09-03,,,
3117603,MG,Conceição do Pará,nacional,2026-09-03,,,
3117702,MG,Conceição do Rio Verde,nacional,2026-09-03,,,
3117801,MG,Conceição dos Ouros,nacional,2026-09-03,,,
3117876,MG,Confins,nacional,2026-09-03,,,
3117900,MG,Congonhal,nacional,2026-09-03,,,
3118007,MG,Congonhas,nacional,2026-09-03,,,
3118106,MG,Congonhas do Norte,nacional,2026-09-03,,,
3118205,MG,Conquista,nacional,2026-09-03,,,
3118304,MG,Conselheiro Lafaiete,nacional,2026-09-03,,,
3118403,MG,Conselheiro Pena,nacional,2026-09-03,,,
3118502,MG,Consolação,nacional,2026-09-03,,,
3118601,MG,Contagem,nacional,2026-09-03,,,
3118700,MG,Coqueiral,nacional,2026-09-03,,,
3118809,MG,Coração de Jesus,nacional,2026-09-03,,,
3118908,MG,Cordisburgo,nacional,2026-09-03,,,
3119005,MG,Cordislândia,nacional,2026-09-03,,,
3119104,MG,Corinto,nacional,2026-09-03,,,
3119203,MG,Coroaci,nacional,2026-09-03,,,
3119302,MG,Coromandel,nacional,2026-09-03,,,
3119401,MG,Coronel Fabriciano,nacional,2026-09-03,,,
3119500,MG,Coronel Murta,nacional,2026-09-03,,,
3119609,MG,Coronel Pacheco,nacional,2026-09-03,,,
3119708,MG,Coronel Xavier Chaves,nacional,2026-09-03,,,
3120102,MG,Couto de Magalhães de Minas,nacional,2026-09-03,,,
3120201,MG,Cristais,nacional,2026-09-03,,,
3120409,MG,Cristiano Otoni,nacional,2026-09-03,,,
3120508,MG,Cristina,nacional,2026-09-03,,,
