ibge,uf,municipio,nivel_verificacao,ultima_verificacao,plano_localizado,decreto_reconhecido,decreto_homologado
2707909,AL,Santa Luzia do Norte,nacional,2026-09-03,,,
2708006,AL,Santana do Ipanema,nacional,2026-09-03,,,
2708105,AL,Santana do Mundaú,nacional,2026-09-03,,,
2708907,AL,Satuba,nacional,2026-09-03,,,
2708956,AL,Senador Rui Palmeira,nacional,2026-09-03,decreto,,
2708204,AL,São Brás,nacional,2026-09-03,,,
2708303,AL,São José da Laje,nacional,2026-09-03,,,
2708402,AL,São José da Tapera,nacional,2026-09-03,,,
2708501,AL,São Luís do Quitunde,nacional,2026-09-03,,,
2708600,AL,São Miguel dos Campos,nacional,2026-09-03,,,
2708709,AL,São Miguel dos Milagres,nacional,2026-09-03,,,
2708808,AL,São Sebastião,nacional,2026-09-03,,,
2709004,AL,Tanque d'Arca,nacional,2026-09-03,,,
2709103,AL,Taquarana,nacional,2026-09-03,,,
2709152,AL,Teotônio Vilela,nacional,2026-09-03,,,
2709202,AL,Traipu,nacional,2026-09-03,,,
2709301,AL,União dos Palmares,nacional,2026-09-03,,,
2709400,AL,Viçosa,nacional,2026-09-03,,,
2700102,AL,Água Branca,nacional,2026-09-03,,,
1300029,AM,Alvarães,nacional,2026-09-03,,,
1300060,AM,Amaturá,nacional,2026-09-03,,,
1300086,AM,Anamã,nacional,2026-09-03,,,
1300102,AM,Anori,nacional,2026-09-03,,,
1300144,AM,Apuí,nacional,2026-09-03,,,
1300201,AM,Atalaia do Norte,nacional,2026-09-03,,,
1300300,AM,Autazes,nacional,2026-09-03,,,
1300409,AM,Barcelos,nacional,2026-09-03,,,
1300508,AM,Barreirinha,nacional,2026-09-03,,,
1300607,AM,Benjamin Constant,nacional,2026-09-03,,,
1300631,AM,Beruri,nacional,2026-09-03,,,
1300680,AM,Boa Vista do Ramos,nacional,2026-09-03,,,
1300706,AM,Boca do Acre,nacional,2026-09-03,,,
1300805,AM,Borba,nacional,2026-09-03,,,
1300839,AM,Caapiranga,nacional,2026-09-03,,,
1300904,AM,Canutama,nacional,2026-09-03,,,
1301001,AM,Carauari,nacional,2026-09-03,,,
1301100,AM,Careiro,nacional,2026-09-03,,,
1301159,AM,Careiro da Várzea,nacional,2026-09-03,,,
1301209,AM,Coari,nacional,2026-09-03,,,
1301308,AM,Codajás,nacional,2026-09-03,,,
1301407,AM,Eirunepé,nacional,2026-09-03,,,
1301506,AM,Envira,nacional,2026-09-03,,,
1301605,AM,Fonte Boa,nacional,2026-09-03,,,
1301654,AM,Guajará,nacional,2026-09-03,,,
1301704,AM,Humaitá,nacional,2026-09-03,,,
1301803,AM,Ipixuna,nacional,2026-09-03,,,
