ibge,uf,regiao,municipio,populacao,porte,marcadores,controle,nivel_verificacao,instrumento_localizado,natureza,decreto_reconhecido
2306405,CE,Nordeste,Itapipoca,131123,grande,geo_hidrologico,False,nacional,,,
2309706,CE,Nordeste,Pacatuba,81238,medio,geo_hidrologico,False,nacional,,,
2309904,CE,Nordeste,Pacujá,6175,pequeno_I,geo_hidrologico,False,nacional,,,
2311603,CE,Nordeste,Redenção,27214,pequeno_II,geo_hidrologico,False,nacional,,,
2312809,CE,Nordeste,Senador Sá,7262,pequeno_I,,True,nacional,,,
5300108,DF,Centro-Oeste,Brasília,2817068,metropole,geo_hidrologico,False,nacional,coberto_estadual,ex_ante,
3201308,ES,Sudeste,Cariacica,353510,grande,geo_hidrologico,False,nacional,plano,ex_ante,
3201605,ES,Sudeste,Conceição da Barra,27458,pequeno_II,geo_hidrologico,False,nacional,plano,ex_ante,
3202207,ES,Sudeste,Fundão,18014,pequeno_I,geo_hidrologico,False,nacional,plano,ex_ante,
3202603,ES,Sudeste,Iconha,12326,pequeno_I,geo_hidrologico,False,nacional,plano,ex_ante,
3203007,ES,Sudeste,Iúna,28590,pequeno_II,geo_hidrologico,False,nacional,plano,ex_ante,
3203056,ES,Sudeste,Jaguaré,28931,pequeno_II,geo_hidrologico,False,nacional,plano,ex_ante,
3203346,ES,Sudeste,Marechal Floriano,17641,pequeno_I,geo_hidrologico,False,nacional,plano,ex_ante,
3203700,ES,Sudeste,Muniz Freire,18153,pequeno_I,geo_hidrologico,False,nacional,plano,ex_ante,
3204005,ES,Sudeste,Pancas,18893,pequeno_I,geo_hidrologico,False,nacional,plano,ex_ante,
3204104,ES,Sudeste,Pinheiros,23915,pequeno_II,,True,nacional,plano,ex_ante,
3204807,ES,Sudeste,São José do Calçado,10878,pequeno_I,geo_hidrologico,False,nacional,plano,ex_ante,
3205101,ES,Sudeste,Viana,73423,medio,geo_hidrologico,False,nacional,plano,ex_ante,
5200308,GO,Centro-Oeste,Alexânia,27008,pequeno_II,geo_hidrologico,False,nacional,,,
5200605,GO,Centro-Oeste,Alto Paraíso de Goiás,10298,pequeno_I,,True,nacional,,,
5200803,GO,Centro-Oeste,Alvorada do Norte,8446,pequeno_I,geo_hidrologico,False,nacional,,,
5207352,GO,Centro-Oeste,Edealina,4001,pequeno_I,,True,nacional,,,
5210000,GO,Centro-Oeste,Inhumas,52204,medio,,True,nacional,,,
5210406,GO,Centro-Oeste,Itaberaí,44734,pequeno_II,,True,nacional,,,
5210604,GO,Centro-Oeste,Itaguaru,4904,pequeno_I,,True,nacional,,,
5210802,GO,Centro-Oeste,Itajá,4380,pequeno_I,,True,nacional,,,
5212501,GO,Centro-Oeste,Luziânia,208725,grande,geo_hidrologico,False,nacional,,,
5218052,GO,Centro-Oeste,Porteirão,4070,pequeno_I,,True,nacional,,,
5219902,GO,Centro-Oeste,São Francisco de Goiás,6378,pequeno_I,,True,nacional,,,
5222054,GO,Centro-Oeste,Vicentinópolis,8768,pequeno_I,,True,nacional,,,
2101202,MA,Nordeste,Bacabal,103711,grande,geo_hidrologico,False,nacional,,,
2102309,MA,Nordeste,Buriti Bravo,22455,pequeno_II,geo_hidrologico,False,nacional,,,
2105948,MA,Nordeste,Lago dos Rodrigues,8758,pequeno_I,geo_hidrologico,False,nacional,,,
